Date_dissected,Date_collected,Month_collected,Month_day,Year,Site,Genus,Species,ID#,Hali,Haem,Total,Gen_sample?,Adult_nymph,Body_length,Head_width,Notes
8/7/2020,,,,,LOWE,Pachydiplax,,1,0,0,0,,adult,,,
8/7/2020,,,,,LOWE,Pachydiplax,,2,0,0,0,,adult,,,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Anax,junius,A,1,0,1,1,nymph,29.089,7.367,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Tramea,,B,0,0,0,,nymph,24.355,7.687,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Tramea,,C,0,0,0,,nymph,17.062,5.15,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Pachydiplax,,D,1,0,1,1,nymph,11.456,3.418,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Unknown,,E,0,0,0,,nymph,11.974,2.851,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Pachydiplax,,F,0,0,0,,nymph,11.758,3.733,
3/24/2022,8/5/2020,August,8/5,2020,LOWE,Pachydiplax,,A,0,0,0,,adult,36.335,6.04,
3/24/2022,8/6/2020,August,8/6,2020,LOWE,Pachydiplax,,A,0,0,0,,adult,34.916,5.912,
3/24/2022,8/6/2020,August,8/6,2020,LOWE,Pachydiplax,,B,0,0,0,,adult,35.09,6.278,
3/24/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,A,0,1,1,,adult,17.962,,
3/24/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,B,0,3,3,,adult,24.036,3.254,
3/24/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,C,0,0,0,,adult,22.886,2.72,
3/24/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,D,0,0,0,,adult,23.563,2.98,
3/24/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,E,0,0,0,,adult,22.896,3.021,
3/24/2022,7/9/2020,July,7/9,2020,LOWE,Pachydiplax,,A,0,0,0,,adult,34.464,6.132,
3/24/2022,7/9/2020,July,7/9,2020,LOWE,Pachydiplax,,B,0,0,0,,adult,34.261,6.182,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,A,0,0,0,,nymph,5.423,2.187,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,B,0,0,0,,nymph,6.467,2.365,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,C,0,0,0,,nymph,5.928,2.18,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,D,0,0,0,,nymph,4.041,1.672,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Pachydiplax,,A,0,0,0,,nymph,5.595,2.033,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,E,0,0,0,,nymph,7.735,2.901,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,F,0,0,0,,nymph,7.173,2.784,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,G,0,0,0,,nymph,8.327,2.983,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Pachydiplax,,B,0,0,0,,nymph,12.691,4.271,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Pachydiplax,,C,0,0,0,,nymph,12.504,4.061,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Tramea,,A,0,0,0,,nymph,17.562,6.108,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Pachydiplax,,D,0,0,0,,nymph,12.345,3.83,
3/25/2022,7/21/2021,July,7/21,2021,LOWE,Pachydiplax,,A,0,0,0,,nymph,12.387,3.036,
3/25/2022,7/21/2021,July,7/21,2021,LOWE,Anax,,A,0,0,0,,nymph,14.325,3.438,
4/12/2022,8/5/2020,August,8/5,2020,LOWE,Enallagma,,A,0,0,0,,adult,29.096,3.396,
4/12/2022,8/5/2020,August,8/5,2020,LOWE,Enallagma,,B,0,0,0,,adult,32.081,3.441,
4/12/2022,8/5/2020,August,8/5,2020,LOWE,Enallagma,,C,0,0,0,,adult,30.608,3.678,
4/12/2022,8/5/2020,August,8/5,2020,LOWE,Enallagma,,D,0,0,0,,adult,31.707,2.189,
4/12/2022,8/5/2020,August,8/5,2020,LOWE,Enallagma,,E,0,0,0,,adult,29.113,2.932,
4/12/2022,7/28/2020,July,7/28,2020,LOWE,Anax,,A,0,0,0,,adult,72.692,10.497,eggs
4/12/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,F,0,0,0,,adult,24.03,3.177,
4/12/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,G,0,0,0,,adult,24.19,3.301,eggs
4/12/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,H,0,0,0,,adult,23.963,2.859,eggs
4/12/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,I,0,0,0,,adult,23.348,2.773,
4/12/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,J,0,1,1,1,adult,24.299,3.106,
4/12/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,K,0,0,0,,adult,24.253,3.031,
4/13/2022,7/21/2021,July,7/21,2021,LOWE,Pachydiplax,,B,1,0,1,1,nymph,11.371,3.367,
4/13/2022,7/21/2021,July,7/21,2021,LOWE,Pachydiplax,,C,0,0,0,,nymph,14.227,3.804,
4/13/2022,6/23/2021,June,6/23,2021,LOWE,Enallagma,,A,0,0,0,,nymph,5.342,1.481,
4/13/2022,6/23/2021,June,6/23,2021,LOWE,Enallagma,,B,0,1,1,N,nymph,7.759,2.06,
4/13/2022,6/23/2021,June,6/23,2021,LOWE,Enallagma,,C,0,1,1,1,nymph,7.865,1.97,
4/13/2022,6/23/2021,June,6/23,2021,LOWE,Enallagma,,D,0,2,2,2,nymph,9.718,2.337,
4/13/2022,6/23/2021,June,6/23,2021,LOWE,Enallagma,,E,0,0,0,,nymph,3.456,1.317,
4/13/2022,6/23/2021,June,6/23,2021,LOWE,Pachydiplax,,A,0,0,0,,nymph,8.386,2.667,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Enallagma,,A,0,0,0,,nymph,9.361,2.072,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Enallagma,,B,0,0,0,,nymph,8.939,2.199,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Enallagma,,C,0,0,0,,nymph,6.547,1.79,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Enallagma,,D,0,0,0,,nymph,6.64,1.547,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Enallagma,,E,0,0,0,,nymph,7.22,1.761,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Ischnura,,F,0,0,0,,nymph,11.793,2.846,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Ischnura,,G,0,0,0,,nymph,11.126,2.651,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Enallagma,,H,0,9,9,7,nymph,10.452,2.572,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Enallagma,,I,0,0,0,,nymph,9.144,2.368,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Enallagma,,J,0,0,0,,nymph,8.003,1.925,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Enallagma,,K,0,2,2,2,nymph,11.262,2.588,
4/13/2022,6/15/2021,June,6/15,2021,LOWE,Enallagma,,L,0,0,0,,nymph,9.493,2.691,
4/13/2022,6/21/2021,June,6/21,2021,LOWE,Pachydiplax,,A,0,0,0,,nymph,8.592,2.942,
4/13/2022,6/21/2021,June,6/21,2021,LOWE,Pachydiplax,,B,0,0,0,,nymph,12.105,3.101,
4/13/2022,6/21/2021,June,6/21,2021,LOWE,Pachydiplax,,C,0,0,0,,nymph,11.359,2.606,
4/13/2022,6/21/2021,June,6/21,2021,LOWE,Pachydiplax,,D,0,0,0,,nymph,12.498,3.512,
4/13/2022,6/21/2021,June,6/21,2021,LOWE,Pachydiplax,,E,0,0,0,,nymph,9.948,2.49,
4/13/2022,6/21/2021,June,6/21,2021,LOWE,Pachydiplax,,F,0,0,0,,nymph,9.856,3.245,
4/13/2022,7/21/2021,July,7/21,2021,LOWE,Tramea,,A,0,0,0,,nymph,13.215,4.372,
4/13/2022,7/21/2021,July,7/21,2021,LOWE,Erythemis,,A,0,0,0,,nymph,6.301,2.468,
4/13/2022,7/21/2021,July,7/21,2021,LOWE,Erythemis,,B,0,0,0,,nymph,5.773,2.178,
4/13/2022,7/21/2021,July,7/21,2021,LOWE,Erythemis,,C,0,0,0,,nymph,10.995,3.821,
4/13/2022,7/21/2021,July,7/21,2021,LOWE,Erythemis,,D,0,0,0,,nymph,5.891,2.189,
4/13/2022,7/21/2021,July,7/21,2021,LOWE,Erythemis,,E,0,0,0,,nymph,,,
4/14/2022,7/21/2021,July,7/21,2021,LOWE,Erythemis,,F,0,0,0,,nymph,13.355,4.665,
4/14/2022,7/21/2021,July,7/21,2021,LOWE,Erythemis,,G,0,0,0,,nymph,13.285,5.062,
4/14/2022,7/21/2021,July,7/21,2021,LOWE,Erythemis,,H,0,0,0,,nymph,5.713,2.112,
4/14/2022,7/21/2021,July,7/21,2021,LOWE,Pachydiplax,,D,0,0,0,,nymph,11.493,3.922,
6/7/2022,8/1/2020,August,8/1,2020,BELL,Perithemis,,BELL_001,0,0,0,,meta,23.125,5.209,
6/7/2022,7/12/2020,July,7/12,2020,LOWE,Pachydiplax,,LOWE_001,0,21,21,13,meta,35.885,7.193,** New ID number system here 
6/7/2022,7/12/2020,July,7/12,2020,LOWE,Pachydiplax,,LOWE_002,0,0,0,,meta,36.981,7.378,
6/7/2022,8/1/2020,August,8/1,2020,LOWE,Lestes,,LOWE_003,0,0,0,,adult,52.261,4.828,
6/7/2022,7/21/2020,July,7/21,2020,LOWE,Enallagma,,LOWE_004,0,0,0,,adult,33.802,3.966,
6/7/2022,7/21/2020,July,7/21,2020,LOWE,Enallagma,,LOWE_005,0,0,0,,adult,34.224,4.068,
6/7/2022,7/21/2020,July,7/21,2020,LOWE,Enallagma,,LOWE_006,0,0,0,,adult,32.886,4.295,
6/7/2022,7/21/2020,July,7/21,2020,LOWE,Enallagma,,LOWE_007,0,0,0,,adult,30.981,,
6/7/2022,7/21/2020,July,7/21,2020,LOWE,Enallagma,,LOWE_008,0,0,0,,adult,30.394,3.793,
6/7/2022,8/1/2020,August,8/1,2020,BELL,Pachydiplax,,BELL_002,0,0,0,,meta,25.737,5.793,
6/7/2022,8/1/2020,August,8/1,2020,BELL,Pachydiplax,,BELL_003,0,0,0,,meta,26.287,5.939,
6/7/2022,8/1/2020,August,8/1,2020,BELL,Pachydiplax,,BELL_004,0,0,0,,meta,30.056,5.429,
6/7/2022,,,,,No Label,Lestes,,UNK_001,0,0,0,,adult,42.091,5.977,
6/7/2022,7/10/2020,July,7/10,2020,LOWE,Lestes,,LOWE_009,0,0,0,,adult,55.679,6.354,
6/7/2022,7/10/2020,July,7/10,2020,LOWE,Lestes,,LOWE_010,0,2,2,2,Adult,,,
6/7/2022,,,,,No label,Pachydiplax,,UNK_002,0,6,6,4,meta,,,
6/21/2022,5/3/2022,May,5/3,2022,LOWE,Anax,,LOWE_D12,0,96,96,36,nymph,33.926,7.162,** New ID number system here to stop confusion with snails. Add D for dfly
6/21/2022,5/3/2022,May,5/3,2022,LOWE,Anax,,LOWE_D13,0,46,46,15,nymph,29.22,7.157,
6/21/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D14,0,0,0,0,nymph,,,
7/2/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D15,6,5,11,11,nymph,12.174,3.811,
7/2/2022,5/3/2022,May,5/3,2022,LOWE,Erythemis,,LOWE_D16,0,500,500,17,nymph,11.262,3.903,estimate
7/4/2022,5/3/2022,May,5/3,2022,LOWE,Tramea,,LOWE_D17,0,14,14,,nymph,27.435,8.811,
7/4/2022,5/3/2022,May,5/3,2022,LOWE,Anax,,LOWE_D18,0,712,712,,nymph,22.613,5.271,estimate
8/1/2022,5/3/2022,May,5/3,2022,LOWE,Libelulla,,LOWE_D19,0,0,0,,nymph,22.022,5.653,
8/2/2022,5/3/2022,May,5/3,2022,LOWE,Tramea,,LOWE_D20,0,2,2,1,nymph,20.139,6.287,
8/11/2022,8/4/2022,August,8/4,2022,LOWE,Anax,,LOWE_D21,0,0,0,,nymph,13.153,2.856,
8/11/2022,8/4/2022,August,8/4,2022,LOWE,Anax,,LOWE_D22,0,0,0,,nymph,12.615,3.237,
8/11/2022,8/4/2022,August,8/4,2022,LOWE,Anax,,LOWE_D23,0,0,0,,nymph,11.109,2.923,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Erythemis,,LOWE_D24,0,0,0,,nymph,9.066,3.299,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Erythemis,,LOWE_D25,0,0,0,,nymph,7.688,3.069,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Erythemis,,LOWE_D26,0,0,0,,nymph,14.358,4.479,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Erythemis,,LOWE_D27,0,0,0,,nymph,14.456,5.023,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Tramea,,LOWE_D28,0,0,0,,nymph,10.979,3.338,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Tramea,,LOWE_D29,0,0,0,,nymph,13.059,4.478,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Tramea,,LOWE_D30,0,0,0,,nymph,24.711,7.776,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D31,0,0,0,,nymph,16.638,5.097,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D32,0,0,0,,nymph,8.048,2.62,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D33,0,0,0,,nymph,7.774,2.626,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D34,0,0,0,,nymph,13.446,2.877,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D35,0,0,0,,nymph,9.63,3.285,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D36,0,0,0,,nymph,4.755,1.597,
8/17/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D37,0,0,0,,nymph,8.043,2.294,
8/17/2022,5/3/2022,May,5/3,2022,LOWE,Anax,,LOWE_D38,0,1,1,1,nymph,10.544,3.104,
9/7/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D39,0,0,0,,nymph,21.271,,no photo- tape approx as long placed where dfly was. large
9/7/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D40,0,0,0,,nymph,8.756,2.921,
9/7/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D41,3,0,3,3,nymph,8.789,3.164,
9/7/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D42,1,0,1,1,nymph,7.07,2.528,
9/7/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D43,2,0,2,2,nymph,6.497,2.478,
9/7/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D44,0,0,0,,nymph,13.051,3.977,
9/7/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D45,0,0,0,,nymph,8.977,3.06,
9/7/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D46,1,0,1,1,nymph,9.25,3.152,
9/8/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D47,0,0,0,,nymph,10.554,4.001,
9/8/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D48,0,0,0,,nymph,16.522,4.943,remnants of other dfly in stomach 
9/8/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D49,0,0,0,,nymph,12.787,4.101,
9/8/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D50,4,3,7,7,nymph,12.224,4.141,
9/8/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D51,0,0,0,,nymph,16.608,5.305,remnants of dfly in stomach?
9/8/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D52,0,0,0,,nymph,13.779,4.029,
9/9/2022,5/3/2022,May,5/3,2022,LOWE,Erythemis,,LOWE_D53,0,20,20,5,nymph,9.221,3.287,dfly in stomach
9/9/2022,5/3/2022,May,5/3,2022,LOWE,Erythemis,,LOWE_D54,0,4,4,5,nymph,7.151,2.577,
9/9/2022,5/3/2022,May,5/3,2022,LOWE,Erythemis,,LOWE_D55,0,70,70,5,nymph,11.059,4.084,dfly in stomach
9/9/2022,5/3/2022,May,5/3,2022,LOWE,Erythemis,,LOWE_D56,0,3,3,2,nymph,8.466,3.16,nematode!
9/9/2022,5/3/2022,May,5/3,2022,LOWE,Erythemis,,LOWE_D57,0,20,20,5,nymph,14.512,4.617,
9/26/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D58,0,0,0,0,nymph,14.972,4.405,
9/26/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D59,0,0,0,0,nymph,16.797,5.339,
9/26/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D60,0,0,0,0,nymph,14.263,5.011,
9/26/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D61,0,0,0,0,nymph,13.593,4.877,
9/26/2022,8/6/2022,August,8/6,2022,LOWE,Pachydiplax,,LOWE_D62,0,0,0,0,nymph,14.716,4.777,
9/26/2022,8/6/2022,August,8/6,2022,LOWE,Tramea,,LOWE_D63,0,0,0,0,nymph,22.683,6.789,
10/01/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D64,2,1,3,2,nymph,9.224,3.228,haem cyst look sweird-- may or may not be real. could not find it anyways 
10/01/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D65,0,0,0,0,nymph,13.205,4.237,
10/01/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D66,1,0,1,1,nymph,12.21,4.282,
10/01/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D67,0,0,0,0,nymph,16.845,5.341,
10/01/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D68,3,3,3,3,nymph,12.996,4.072,couldnt find last hali- haem all in one tube 
10/01/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D69,6,0,6,1,nymph,17.513,5.318,
10/01/2022,5/3/2022,May,5/3,2022,LOWE,Pachydiplax,,LOWE_D70,0,0,0,0,nymph,18.907,5.03,
10/08/2022,8/5/2022,August,8/5,2022,BELL,Tramea,,BELL_D1,0,0,0,,nymph,23.495,7.586,check photos to ID the smalel ones-- unsure. PAchy could be tramea
10/08/2022,8/5/2022,August,8/5,2022,BELL,Tramea,,BELL_D2,0,0,0,,nymph,4.827,1.646,
10/08/2022,8/5/2022,August,8/5,2022,BELL,Pachydiplax,,BELL_D3,0,0,0,,nymph,3.547,1.478,
10/08/2022,8/5/2022,August,8/5,2022,BELL,Erythemis,,BELL_D4,0,0,0,,nymph,3.077,1.303,
10/08/2022,8/5/2022,August,8/5,2022,BELL,Enallagma,,BELL_D5,0,0,0,,nymph,8.647,2.327,
10/08/2022,8/5/2022,August,8/5,2022,BELL,Erythemis,,BELL_D6,0,0,0,,nymph,6.145,2.324,
10/08/2022,8/5/2022,August,8/5,2022,BELL,Pachydiplax,,BELL_D7,0,0,0,,nymph,4.094,1.396,
10/08/2022,8/5/2022,August,8/5,2022,BELL,Pachydiplax,,BELL_D8,0,0,0,,nymph,4.592,1.616,
10/08/2022,8/5/2022,August,8/5,2022,BELL,Pachydiplax,,BELL_D9,0,0,0,,nymph,5.012,1.329,
10/08/2022,8/5/2022,August,8/5,2022,BELL,Lestes,,BELL_D10,0,0,0,,nymph,10.21,2.066,
10/08/2022,8/5/2022,August,8/5,2022,BELL,Enallagma,,BELL_D11,0,0,0,,nymph,5.904,1.808,
10/10/2022,8/5/2022,August,8/5,2022,BELL,Pachydiplax,,BELL_D12,0,0,0,,nymph,13.036,4.528,
10/10/2022,8/5/2022,August,8/5,2022,BELL,Pachydiplax,,BELL_D13,0,0,0,,nymph,14.293,4.758,
10/10/2022,8/5/2022,August,8/5,2022,BELL,Pachydiplax,,BELL_D14,0,0,0,,nymph,13.784,4.913,
10/10/2022,8/5/2022,August,8/5,2022,BELL,Anax,,BELL_D15,0,0,0,,nymph,14.6,3.353,"odd round shapes in intestine-- cysts? unclear, saving them. 4 total"
10/10/2022,8/6/2022,August,8/6,2022,BELL,Erythemis,,BELL_D16,0,0,0,,nymph,6.323,2.552,
10/10/2022,8/6/2022,August,8/6,2022,BELL,Erythemis,,BELL_D17,0,0,0,,nymph,4.144,1.244,
10/10/2022,8/5/2022,August,8/5,2022,LOWE,Enallagma,,LOWE_D71,0,8,8,,nymph,10.111,2.051,
10/10/2022,8/5/2022,August,8/5,2022,LOWE,Enallagma,,LOWE_D72,0,1,1,,nymph,5.924,1.369,
10/10/2022,8/5/2022,August,8/5,2022,LOWE,Enallagma,,LOWE_D73,0,0,0,,nymph,7.288,2.365,NematodE!!
10/10/2022,8/5/2022,August,8/5,2022,LOWE,Enallagma,,LOWE_D74,0,0,0,,nymph,5.819,1.581,
10/10/2022,8/5/2022,August,8/5,2022,LOWE,Enallagma,,LOWE_D75,0,0,0,,nymph,4.945,1.522,
10/10/2022,8/5/2022,August,8/5,2022,LOWE,Enallagma,,LOWE_D76,0,0,0,,nymph,4.505,1.23,
10/10/2022,8/5/2022,August,8/5,2022,LOWE,Enallagma,,LOWE_D77,0,4,4,,nymph,7.476,1.72,
10/11/2022,6/11/2022,June,6/11,2022,LOWE,Pachydiplax,,LOWE_D78,0,0,0,,nymph,15.357,5.233,
10/11/2022,6/11/2022,June,6/11,2022,LOWE,Erythemis,,LOWE_D79,0,25,25,,nymph,11.74,4.006,
10/11/2022,6/11/2022,June,6/11,2022,LOWE,Pachydiplax,,LOWE_D80,0,0,0,,nymph,16.385,5.002,
